ISO,round,region,country_x,year,status,reports,datasets,link
AGO,MICS2,Eastern and Southern Africa,Angola,2001,Completed,Final,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS2/Eastern%20and%20Southern%20Africa/Angola/2001/Datasets/Angola%202001%20MICS_Datasets.zip
ARG,MICS4,Latin America and Caribbean,Argentina,2011-2012,Completed,Final,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS4/Latin%20America%20and%20Caribbean/Argentina/2011-2012/Datasets/Argentina%202012%20MICS_Datasets.zip
BIH,MICS4,Europe and Central Asia,Bosnia and Herzegovina,2011-2012,Completed,Final,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS4/Europe%20and%20Central%20Asia/Bosnia%20and%20Herzegovina/2011-2012/Datasets/Bosnia%20and%20Herzegovina%202012%20MICS%20_Datasets.zip
BIH,MICS3,Europe and Central Asia,Bosnia and Herzegovina,2006,Completed,Final,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Europe%20and%20Central%20Asia/Bosnia%20and%20Herzegovina/2006/Datasets/Bosnia%20and%20Herzegovina%202006%20MICS_Datasets.zip
BIH,MICS2,Europe and Central Asia,Bosnia and Herzegovina,2000,Completed,Final,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS2/Europe%20and%20Central%20Asia/Bosnia%20and%20Herzegovina/2000/Datasets/Bosnia%20and%20Herzegovina%202000%20MICS_Datasets.zip
BOL,MICS2,Latin America and Caribbean,Bolivia (Plurinational State of),2000,Completed,Final,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS2/Latin%20America%20and%20Caribbean/Bolivia%2C%20Plurinational%20State%20of/2000/Datasets/Bolivia%202000%20MICS_Datasets.zip
BWA,MICS2,Eastern and Southern Africa,Botswana,2000,Completed,Final,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS2/Eastern%20and%20Southern%20Africa/Botswana/2000/Datasets/Botswana%202000%20MICS_Datasets.zip
CAF,MICS4,West and Central Africa,Central African Republic,2010,Completed,"Biomarker,Final,Summary",Available,https://mics-surveys-prod.s3.amazonaws.com/MICS4/West%20and%20Central%20Africa/Central%20African%20Republic/2010/Datasets/Central%20African%20Republic%202010%20MICS_Datasets.zip
CAF,MICS3,West and Central Africa,Central African Republic,2006,Completed,Final,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS3/West%20and%20Central%20Africa/Central%20African%20Republic/2006/Datasets/Central%20African%20Republic%202006%20MICS_Datasets.zip
CAF,MICS2,West and Central Africa,Central African Republic,2000,Completed,Final,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS2/West%20and%20Central%20Africa/Central%20African%20Republic/2000/Datasets/Central%20African%20Republic%202000%20MICS_Datasets.zip
CRI,MICS6,Latin America and Caribbean,Costa Rica,2018,Completed,"Snapshots,Survey findings",Available,https://mics-surveys-prod.s3.amazonaws.com/MICS6/Latin%20America%20and%20Caribbean/Costa%20Rica/2018/Datasets/Costa%20Rica%20MICS6%20SPSS%20Datasets.zip
CRI,MICS4,Latin America and Caribbean,Costa Rica,2011,Completed,Final,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS4/Latin%20America%20and%20Caribbean/Costa%20Rica/2011/Datasets/Costa%20Rica%202011%20MICS_Datasets.zip
DOM,MICS5,Latin America and Caribbean,Dominican Republic,2014,Completed,"Final,Key findings",Available,https://mics-surveys-prod.s3.amazonaws.com/MICS5/Latin%20America%20and%20Caribbean/Dominican%20Republic/2014/Datasets/Dominican%20Republic_MICS5_Datasets.zip
DOM,MICS2,Latin America and Caribbean,Dominican Republic,2000,Completed,Final,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS2/Latin%20America%20and%20Caribbean/Dominican%20Republic/2000/Datasets/Dominican%20Republic%202000%20MICS_Datasets.zip
SLV,MICS5,Latin America and Caribbean,El Salvador,2014,Completed,"Final,Key findings",Available,https://mics-surveys-prod.s3.amazonaws.com/MICS5/Latin%20America%20and%20Caribbean/El%20Salvador/2014/Datasets/El%20Salvador_MICS5_Datasets.zip
GNQ,MICS2,West and Central Africa,Equatorial Guinea,2000,Completed,Final,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS2/West%20and%20Central%20Africa/Equatorial%20Guinea/2000/Datasets/Equatorial%20Guinea%202000%20MICS_Datasets.zip
CIV,MICS5,West and Central Africa,C̫te d'Ivoire,2016,Completed,Final,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS5/West%20and%20Central%20Africa/C%C3%B4te%20d%27Ivoire/2016/Datasets/C%C3%B4te%20d%27Ivoire_MICS5_Datasets.zip
CIV,MICS3,West and Central Africa,C̫te d'Ivoire,2006,Completed,Final,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS3/West%20and%20Central%20Africa/C%C3%B4te%20d%27Ivoire/2006/Datasets/Cote%20d%27Ivoire%202006%20MICS_Datasets.zip
CIV,MICS2,West and Central Africa,C̫te d'Ivoire,2000,Completed,Final,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS2/West%20and%20Central%20Africa/C%C3%B4te%20d%27Ivoire/2000/Datasets/Cote%20d%27Ivoire%202000%20MICS_Datasets.zip
KAZ,MICS5,Europe and Central Asia,Kazakhstan,2015,Completed,"Final,Key findings",Available,https://mics-surveys-prod.s3.amazonaws.com/MICS5/Europe%20and%20Central%20Asia/Kazakhstan/2015/Datasets/Kazakhstan_MICS5_Datasets.zip
KGZ,MICS6,Europe and Central Asia,Kyrgyzstan,2018,Completed,"Snapshots,Survey findings",Available,https://mics-surveys-prod.s3.amazonaws.com/MICS6/Europe%20and%20Central%20Asia/Kyrgyzstan/2018/Datasets/Kyrgyz%20Republic%20MICS6%20Datasets.zip
LAO,MICS6,East Asia and the Pacific,Lao People's Democratic Republic,2017,Completed,Survey findings,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS6/East%20Asia%20and%20the%20Pacific/Lao%20People%27s%20Democratic%20Republic/2017/Datasets/Lao%20PDR%20MICS6%20Datasets.zip
LAO,MICS4,East Asia and the Pacific,Lao People's Democratic Republic,2011-2012,Completed,Final,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS4/East%20Asia%20and%20the%20Pacific/Lao%20People%27s%20Democratic%20Republic/2011-2012/Datasets/Lao%202012%20MICS_Datasets.zip
LAO,MICS3,East Asia and the Pacific,Lao People's Democratic Republic,2006,Completed,Final,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS3/East%20Asia%20and%20the%20Pacific/Lao%20People%27s%20Democratic%20Republic/2006/Datasets/Lao%20PDR%202006%20MICS_Datasets.zip
LAO,MICS2,East Asia and the Pacific,Lao People's Democratic Republic,2000,Completed,Final,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS2/East%20Asia%20and%20the%20Pacific/Lao%20People%27s%20Democratic%20Republic/2000/Datasets/Lao%20PDR%202000%20MICS_Datasets.zip
LSO,MICS2,Eastern and Southern Africa,Lesotho,2000,Completed,Final,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS2/Eastern%20and%20Southern%20Africa/Lesotho/2000/Datasets/Lesotho%202000%20MICS_Datasets.zip
MKD,MICS6,Europe and Central Asia,North Macedonia,2018-2019,Completed,Survey findings,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS6/Europe%20and%20Central%20Asia/North%20Macedonia%2C%20Republic%20of/2018-2019/Datasets/Republic%20of%20North%20Macedonia%20MICS6%20Datasets.zip
MKD,MICS4,Europe and Central Asia,North Macedonia,2011,Completed,Final,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS4/Europe%20and%20Central%20Asia/North%20Macedonia%2C%20Republic%20of/2011/Datasets/Macedonia%202011%20MICS_Datasets.zip
MKD,MICS3,Europe and Central Asia,North Macedonia,2005-2006,Completed,Final,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Europe%20and%20Central%20Asia/North%20Macedonia%2C%20Republic%20of/2005-2006/Datasets/Macedonia%202005-06%20MICS_Datasets.zip
PAN,MICS5,Latin America and Caribbean,Panama,2013,Completed,Key findings,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS5/Latin%20America%20and%20Caribbean/Panama/2013/Datasets/Panama%202013%20MICS_Datasets.zip
MDA,MICS4,Europe and Central Asia,Republic of Moldova,2012,Completed,"Final,Summary",Available,https://mics-surveys-prod.s3.amazonaws.com/MICS4/Europe%20and%20Central%20Asia/Moldova%2C%20Republic%20of/2012/Datasets/Moldova%202012%20MICS_Datasets.zip
MDA,MICS2,Europe and Central Asia,Republic of Moldova,2000,Completed,Final,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS2/Europe%20and%20Central%20Asia/Moldova%2C%20Republic%20of/2000/Datasets/Moldova%202000%20MICS_Datasets.zip
GNB,MICS6,West and Central Africa,Guinea-Bissau,2018-2019,Completed,"Snapshots,Survey findings",Available,https://mics-surveys-prod.s3.amazonaws.com/MICS6/West%20and%20Central%20Africa/Guinea-Bissau/2018-2019/Datasets/Guinea%20Bissau%20MICS6%20Datasets.zip
GNB,MICS5,West and Central Africa,Guinea-Bissau,2014,Completed,"Final,Key findings",Available,https://mics-surveys-prod.s3.amazonaws.com/MICS5/West%20and%20Central%20Africa/Guinea-Bissau/2014/Datasets/Guinea%20Bissau_MICS5_Datasets.zip
GNB,MICS4,West and Central Africa,Guinea-Bissau,2010,Completed,Final,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS4/West%20and%20Central%20Africa/Guinea-Bissau/2010/Datasets/Guinea%20Bissau_MICS4_Datasets.zip
GNB,MICS3,West and Central Africa,Guinea-Bissau,2006,Completed,Final,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS3/West%20and%20Central%20Africa/Guinea-Bissau/2006/Datasets/Guinea-Bissau%202006%20MICS_Datasets.zip
GNB,MICS2,West and Central Africa,Guinea-Bissau,2000,Completed,Final,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS2/West%20and%20Central%20Africa/Guinea-Bissau/2000/Datasets/Guinea%20Bissau%202000%20MICS_Datasets.zip
RWA,MICS2,Eastern and Southern Africa,Rwanda,2000,Completed,Final,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS2/Eastern%20and%20Southern%20Africa/Rwanda/2000/Datasets/Rwanda%202000%20MICS_Datasets.zip
LCA,MICS4,Latin America and Caribbean,Saint Lucia,2012,Completed,Final,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS4/Latin%20America%20and%20Caribbean/Saint%20Lucia/2012/Datasets/Saint%20Lucia%202012%20MICS_Datasets.zip
STP,MICS5,West and Central Africa,Sao Tome and Principe,2014,Completed,"Biomarker,Final,Key findings",Available,https://mics-surveys-prod.s3.amazonaws.com/MICS5/West%20and%20Central%20Africa/Sao%20Tome%20and%20Principe/2014/Datasets/Sao%20Tome%20and%20Principe%202014%20MICS_Datasets.zip
STP,MICS2,West and Central Africa,Sao Tome and Principe,2000,Completed,Final,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS2/West%20and%20Central%20Africa/Sao%20Tome%20and%20Principe/2000/Datasets/Sao%20Tome%20and%20Principle%202000%20MICS_Datasets.zip
SRB,MICS6,Europe and Central Asia,Serbia,2019,Completed,"Snapshots,Survey findings",Available,https://mics-surveys-prod.s3.amazonaws.com/MICS6/Europe%20and%20Central%20Asia/Serbia/2019/Datasets/Serbia%20MICS6%20Datasets.zip
SLE,MICS6,West and Central Africa,Sierra Leone,2017,Completed,"Snapshots,Survey findings",Available,https://mics-surveys-prod.s3.amazonaws.com/MICS6/West%20and%20Central%20Africa/Sierra%20Leone/2017/Datasets/Sierra%20Leone%20MICS6%20Datasets.zip
SLE,MICS4,West and Central Africa,Sierra Leone,2010,Completed,Final,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS4/West%20and%20Central%20Africa/Sierra%20Leone/2010/Datasets/Sierra%20Leone%202010%20MICS_Datasets.zip
SLE,MICS3,West and Central Africa,Sierra Leone,2005-2006,Completed,Final,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS3/West%20and%20Central%20Africa/Sierra%20Leone/2005-2006/Datasets/Sierra%20Leone%202005%20MICS_Datasets.zip
SLE,MICS2,West and Central Africa,Sierra Leone,2000,Completed,Final,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS2/West%20and%20Central%20Africa/Sierra%20Leone/2000/Datasets/Sierra%20Leone%202000%20MICS_Datasets.zip
SSD,MICS4,Eastern and Southern Africa,South Sudan,2010,Completed,Final,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS4/Eastern%20and%20Southern%20Africa/South%20Sudan%2C%20Republic%20of/2010/Datasets/South%20Sudan%202010%20MICS_Datasets.zip
SWZ,MICS2,Eastern and Southern Africa,Eswatini,2000,Completed,Final,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS2/Eastern%20and%20Southern%20Africa/Eswatini/2000/Datasets/Swaziland%202000%20MICS_Datasets.zip
SYR,MICS3,Middle East and North Africa,Syrian Arab Republic,2006,Completed,Final,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Middle%20East%20and%20North%20Africa/Syrian%20Arab%20Republic/2006/Datasets/Syrian%20Arab%20Republic%202006%20MICS_Datasets.zip
THA,MICS6,East Asia and the Pacific,Thailand,2019,Completed,"Key indicators,Snapshots,Survey findings",Available,https://mics-surveys-prod.s3.amazonaws.com/MICS6/East%20Asia%20and%20the%20Pacific/Thailand/2019/Datasets/Thailand%20MICS6%20Datasets.zip
TON,MICS6,East Asia and the Pacific,Tonga,2019,Completed,"Preliminary,Snapshots,Survey findings",Available,https://mics-surveys-prod.s3.amazonaws.com/MICS6/East%20Asia%20and%20the%20Pacific/Tonga/2019/Datasets/Tonga%20MICS6%20Datasets.zip
TTO,MICS4,Latin America and Caribbean,Trinidad and Tobago,2011,Completed,Final,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS4/Latin%20America%20and%20Caribbean/Trinidad%20and%20Tobago/2011/Datasets/Trinidad%20and%20Tobago_MICS4_Datasets.zip
TTO,MICS3,Latin America and Caribbean,Trinidad and Tobago,2006,Completed,Final,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Latin%20America%20and%20Caribbean/Trinidad%20and%20Tobago/2006/Datasets/Trinidad%20and%20Tobago%202006%20MICS_Datasets.zip
TTO,MICS2,Latin America and Caribbean,Trinidad and Tobago,2000,Completed,Final,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS2/Latin%20America%20and%20Caribbean/Trinidad%20and%20Tobago/2000/Datasets/Trinidad%20and%20Tobago%202000%20MICS_Datasets.zip
TKM,MICS6,Europe and Central Asia,Turkmenistan,2019,Completed,"Snapshots,Survey findings",Available,https://mics-surveys-prod.s3.amazonaws.com/MICS6/Europe%20and%20Central%20Asia/Turkmenistan/2019/Datasets/Turkmenistan%20MICS6%20SPSS%20Datasets.zip
BFA,MICS3,West and Central Africa,Burkina Faso,2006,Completed,Final,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS3/West%20and%20Central%20Africa/Burkina%20Faso/2006/Datasets/Burkina%20Faso%202006%20MICS_Datasets.zip
VEN,MICS2,Latin America and Caribbean,Venezuela (Bolivarian Republic of),2000,Completed,Final,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS2/Latin%20America%20and%20Caribbean/Venezuela%2C%20Bolivarian%20Republic%20of/2000/Datasets/Venezuela%202000%20MICS_Datasets.zip
VNM,MICS5,East Asia and the Pacific,Viet Nam,2013-2014,Completed,"Final,Key findings",Available,https://mics-surveys-prod.s3.amazonaws.com/MICS5/East%20Asia%20and%20the%20Pacific/Viet%20Nam/2013-2014/Datasets/Viet%20Nam%202013-14%20MICS_Datasets.zip
VNM,MICS4,East Asia and the Pacific,Viet Nam,2010-2011,Completed,Final,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS4/East%20Asia%20and%20the%20Pacific/Viet%20Nam/2010-2011/Datasets/Viet%20Nam%202011%20MICS_Datasets.zip
VNM,MICS3,East Asia and the Pacific,Viet Nam,2006,Completed,Final,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS3/East%20Asia%20and%20the%20Pacific/Viet%20Nam/2006/Datasets/Viet%20Nam%202006%20MICS_Datasets.zip
VNM,MICS2,East Asia and the Pacific,Viet Nam,2000,Completed,Final,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS2/East%20Asia%20and%20the%20Pacific/Viet%20Nam/2000/Datasets/Viet%20Nam%202000%20MICS_Datasets.zip
COD,MICS6,West and Central Africa,Democratic Republic of the Congo,2017-2018,Completed,"Snapshots,Survey findings",Available,https://mics-surveys-prod.s3.amazonaws.com/MICS6/West%20and%20Central%20Africa/Congo%2C%20Democratic%20Republic%20of%20the/2017-2018/Datasets/DRCongo%20MICS6%20SPSS%20Datafiles.zip
COD,MICS4,West and Central Africa,Democratic Republic of the Congo,2010,Completed,"Final,Summary",Available,https://mics-surveys-prod.s3.amazonaws.com/MICS4/West%20and%20Central%20Africa/Congo%2C%20Democratic%20Republic%20of%20the/2010/Datasets/Congo%20DR%202010%20MICS_Datasets.zip
COD,MICS2,West and Central Africa,Democratic Republic of the Congo,2001,Completed,Final,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS2/West%20and%20Central%20Africa/Congo%2C%20Democratic%20Republic%20of%20the/2001/Datasets/Congo%2C%20Democratic%20Republic%20of%202001%20MICS_Datasets.zip
